0,unknown,"[0,1,2,3,4,5]"
1,Henry James,[6]
2,"Lodge, Henry Cabot",[7]
3,"Bueltmann, A. J.",[8]
4,"Collins, David",[9]
5,"Strachey, Lytton",[10]
6,"Bennett, Arnold","[11,14,28]"
7,"Windsor, H. H. (Henry Haven)",[12]
8,"Sanford, Arthur Benton",[13]
9,"Reed, Myrtle",[15]
10,Various,"[16,26,49]"
11,"Lang, Andrew",[17]
12,"Beavan, F. (Frederick), Mrs.",[18]
13,"Yohn, F. C. (Frederick Coffay)",[19]
14,"Ferber, Edna",[20]
15,"Janes, Don Carlos",[21]
16,"Price, Edith Ballinger",[22]
17,"Hayes, Clair W. (Clair Wallace)",[23]
18,"Von Arnim, Elizabeth",[24]
19,"Anderson, Nephi",[25]
20,"Johnson, Owen",[27]
21,"Hancock, H. Irving (Harrie Irving)","[29,31,32,33,42,43,44,45]"
22,"Zangwill, Israel",[30]
23,"Jerome, Chauncey",[34]
24,"Field, Eugene",[35]
25,"Hakluyt, Richard",[36]
26,"Atherton, Gertrude Franklin Horn",[37]
27,"Holmes, Oliver Wendell",[38]
28,Aristotle,[39]
29,"Aguilar, Grace",[40]
30,"Vaknin, Samuel",[41]
31,"Fairless, Michael",[46]
32,"Stevenson, Robert Louis","[47,57,58]"
33,"London, Jack",[48]
34,"Dickens, Charles",[50]
35,"James, Henry",[51]
36,"White, William Hale",[52]
37,"Cusack, Mary Frances",[53]
38,"Bangs, John Kendrick",[54]
39,"Yonge, Charlotte M. (Charlotte Mary)",[55]
40,"Bierce, Ambrose",[56]
41,"Borrow, George",[59]
